加密类型,N或dt,温度最大差/℃,水分浓度最大差/(kg/kg)
网格,50,0.00036915321901886955,0.0002631998664401891
网格,100,4.122683449025999e-05,3.735237884150422e-05
网格,200,8.245579159904537e-06,7.471703250327977e-06
时间步,2.0,2.279733045895682e-06,4.2835826885578854e-08
时间步,1.0,5.810376180193089e-07,1.0201492761652275e-08
时间步,0.5,1.1737093785768593e-07,2.0404546940966384e-09
