时间/s,0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2 cm
3372,2.533805,2.532944,2.530282,2.525582,2.518451,2.508340,2.494554,2.476266,2.452545,2.422389,2.384780,2.338741,2.283413,2.218118,2.142435,2.056251,1.959808,1.853710,1.738922,1.616721,1.488594
3373,2.533774,2.532912,2.530247,2.525543,2.518405,2.508285,2.494489,2.476190,2.452455,2.422286,2.384663,2.338613,2.283274,2.217972,2.142285,2.056102,1.959664,1.853576,1.738803,1.616622,1.488516
3374,2.533744,2.532881,2.530213,2.525503,2.518358,2.508230,2.494424,2.476113,2.452366,2.422183,2.384547,2.338484,2.283135,2.217826,2.142135,2.055953,1.959520,1.853442,1.738685,1.616522,1.488438
3375,2.533713,2.532849,2.530178,2.525464,2.518312,2.508175,2.494358,2.476036,2.452276,2.422080,2.384431,2.338356,2.282997,2.217679,2.141985,2.055804,1.959376,1.853309,1.738566,1.616423,1.488360
3376,2.533682,2.532817,2.530143,2.525424,2.518266,2.508120,2.494293,2.475959,2.452186,2.421977,2.384314,2.338227,2.282858,2.217533,2.141835,2.055654,1.959232,1.853175,1.738448,1.616323,1.488282
3377,2.533651,2.532785,2.530109,2.525385,2.518220,2.508065,2.494228,2.475882,2.452096,2.421873,2.384198,2.338099,2.282719,2.217387,2.141685,2.055505,1.959088,1.853042,1.738329,1.616224,1.488204
3378,2.533620,2.532753,2.530074,2.525345,2.518173,2.508010,2.494163,2.475805,2.452006,2.421770,2.384082,2.337970,2.282580,2.217241,2.141535,2.055356,1.958944,1.852908,1.738211,1.616125,1.488126
3379,2.533589,2.532721,2.530039,2.525305,2.518127,2.507955,2.494097,2.475728,2.451916,2.421667,2.383965,2.337842,2.282442,2.217095,2.141386,2.055207,1.958801,1.852775,1.738093,1.616025,1.488048
3380,2.533558,2.532689,2.530004,2.525266,2.518080,2.507900,2.494032,2.475651,2.451827,2.421564,2.383849,2.337713,2.282303,2.216949,2.141236,2.055058,1.958657,1.852642,1.737975,1.615926,1.487970
3381,2.533527,2.532657,2.529969,2.525226,2.518034,2.507845,2.493967,2.475573,2.451737,2.421460,2.383732,2.337585,2.282164,2.216803,2.141086,2.054908,1.958513,1.852508,1.737856,1.615826,1.487892
3382,2.533496,2.532625,2.529934,2.525186,2.517987,2.507790,2.493901,2.475496,2.451647,2.421357,2.383616,2.337456,2.282025,2.216657,2.140936,2.054759,1.958370,1.852375,1.737738,1.615727,1.487815
3383,2.533465,2.532593,2.529899,2.525146,2.517941,2.507735,2.493836,2.475419,2.451556,2.421254,2.383499,2.337328,2.281887,2.216511,2.140787,2.054610,1.958226,1.852242,1.737620,1.615628,1.487737
3384,2.533433,2.532561,2.529864,2.525106,2.517894,2.507680,2.493770,2.475342,2.451466,2.421150,2.383383,2.337199,2.281748,2.216365,2.140637,2.054461,1.958082,1.852109,1.737502,1.615529,1.487659
3385,2.533402,2.532528,2.529829,2.525066,2.517847,2.507625,2.493705,2.475264,2.451376,2.421047,2.383266,2.337070,2.281609,2.216219,2.140487,2.054312,1.957939,1.851976,1.737384,1.615429,1.487581
3386,2.533371,2.532496,2.529794,2.525026,2.517801,2.507569,2.493639,2.475187,2.451286,2.420943,2.383150,2.336942,2.281471,2.216073,2.140338,2.054163,1.957795,1.851842,1.737266,1.615330,1.487504
3387,2.533339,2.532464,2.529758,2.524986,2.517754,2.507514,2.493573,2.475110,2.451196,2.420840,2.383033,2.336813,2.281332,2.215927,2.140188,2.054014,1.957652,1.851709,1.737148,1.615231,1.487426
3388,2.533308,2.532432,2.529723,2.524946,2.517707,2.507458,2.493508,2.475032,2.451106,2.420736,2.382917,2.336685,2.281193,2.215781,2.140038,2.053866,1.957509,1.851576,1.737029,1.615132,1.487348
3389,2.533277,2.532399,2.529688,2.524906,2.517660,2.507403,2.493442,2.474955,2.451015,2.420633,2.382800,2.336556,2.281054,2.215635,2.139889,2.053717,1.957365,1.851443,1.736911,1.615032,1.487271
3390,2.533245,2.532367,2.529653,2.524866,2.517613,2.507348,2.493376,2.474877,2.450925,2.420529,2.382683,2.336427,2.280916,2.215489,2.139739,2.053568,1.957222,1.851310,1.736794,1.614933,1.487193
3391,2.533214,2.532334,2.529617,2.524826,2.517566,2.507292,2.493310,2.474800,2.450835,2.420426,2.382567,2.336299,2.280777,2.215343,2.139590,2.053419,1.957078,1.851177,1.736676,1.614834,1.487115
3392,2.533182,2.532302,2.529582,2.524786,2.517520,2.507237,2.493245,2.474722,2.450745,2.420322,2.382450,2.336170,2.280638,2.215197,2.139440,2.053270,1.956935,1.851044,1.736558,1.614735,1.487038
3393,2.533151,2.532269,2.529547,2.524745,2.517473,2.507181,2.493179,2.474644,2.450654,2.420218,2.382333,2.336041,2.280500,2.215051,2.139291,2.053121,1.956792,1.850912,1.736440,1.614636,1.486960
3394,2.533119,2.532237,2.529511,2.524705,2.517425,2.507125,2.493113,2.474567,2.450564,2.420115,2.382217,2.335913,2.280361,2.214905,2.139141,2.052973,1.956649,1.850779,1.736322,1.614537,1.486883
3395,2.533087,2.532204,2.529476,2.524665,2.517378,2.507070,2.493047,2.474489,2.450473,2.420011,2.382100,2.335784,2.280222,2.214759,2.138992,2.052824,1.956505,1.850646,1.736204,1.614438,1.486805
3396,2.533056,2.532172,2.529440,2.524624,2.517331,2.507014,2.492981,2.474411,2.450383,2.419907,2.381983,2.335655,2.280083,2.214613,2.138842,2.052675,1.956362,1.850513,1.736086,1.614339,1.486728
3397,2.533024,2.532139,2.529404,2.524584,2.517284,2.506958,2.492915,2.474334,2.450292,2.419804,2.381867,2.335527,2.279945,2.214467,2.138693,2.052527,1.956219,1.850380,1.735969,1.614240,1.486650
3398,2.532992,2.532106,2.529369,2.524543,2.517237,2.506902,2.492849,2.474256,2.450202,2.419700,2.381750,2.335398,2.279806,2.214321,2.138543,2.052378,1.956076,1.850248,1.735851,1.614141,1.486573
3399,2.532960,2.532073,2.529333,2.524503,2.517190,2.506846,2.492782,2.474178,2.450111,2.419596,2.381633,2.335269,2.279667,2.214176,2.138394,2.052230,1.955933,1.850115,1.735733,1.614042,1.486496
3400,2.532929,2.532040,2.529297,2.524462,2.517142,2.506791,2.492716,2.474100,2.450021,2.419492,2.381516,2.335141,2.279529,2.214030,2.138245,2.052081,1.955790,1.849982,1.735616,1.613943,1.486418
3401,2.532897,2.532008,2.529262,2.524422,2.517095,2.506735,2.492650,2.474022,2.449930,2.419388,2.381399,2.335012,2.279390,2.213884,2.138095,2.051933,1.955647,1.849850,1.735498,1.613844,1.486341
3402,2.532865,2.531975,2.529226,2.524381,2.517048,2.506679,2.492584,2.473944,2.449839,2.419285,2.381283,2.334883,2.279251,2.213738,2.137946,2.051784,1.955504,1.849717,1.735380,1.613745,1.486264
3403,2.532833,2.531942,2.529190,2.524341,2.517000,2.506623,2.492518,2.473866,2.449748,2.419181,2.381166,2.334754,2.279113,2.213592,2.137797,2.051636,1.955361,1.849585,1.735263,1.613646,1.486186
3404,2.532801,2.531909,2.529154,2.524300,2.516953,2.506567,2.492451,2.473788,2.449658,2.419077,2.381049,2.334626,2.278974,2.213446,2.137648,2.051487,1.955218,1.849452,1.735145,1.613547,1.486109
3405,2.532769,2.531876,2.529118,2.524259,2.516905,2.506511,2.492385,2.473710,2.449567,2.418973,2.380932,2.334497,2.278835,2.213301,2.137498,2.051339,1.955076,1.849320,1.735028,1.613448,1.486032
3406,2.532737,2.531843,2.529082,2.524218,2.516858,2.506454,2.492318,2.473632,2.449476,2.418869,2.380815,2.334368,2.278696,2.213155,2.137349,2.051190,1.954933,1.849187,1.734910,1.613350,1.485954
3407,2.532704,2.531810,2.529046,2.524177,2.516810,2.506398,2.492252,2.473554,2.449385,2.418765,2.380698,2.334239,2.278558,2.213009,2.137200,2.051042,1.954790,1.849055,1.734793,1.613251,1.485877
3408,2.532672,2.531777,2.529010,2.524137,2.516762,2.506342,2.492185,2.473476,2.449294,2.418661,2.380581,2.334110,2.278419,2.212863,2.137051,2.050894,1.954647,1.848923,1.734675,1.613152,1.485800
3409,2.532640,2.531743,2.528974,2.524096,2.516715,2.506286,2.492119,2.473397,2.449203,2.418557,2.380464,2.333982,2.278280,2.212718,2.136902,2.050746,1.954505,1.848790,1.734558,1.613053,1.485723
3410,2.532608,2.531710,2.528938,2.524055,2.516667,2.506229,2.492052,2.473319,2.449113,2.418453,2.380347,2.333853,2.278142,2.212572,2.136753,2.050597,1.954362,1.848658,1.734441,1.612955,1.485646
3411,2.532576,2.531677,2.528902,2.524014,2.516619,2.506173,2.491986,2.473241,2.449022,2.418348,2.380230,2.333724,2.278003,2.212426,2.136603,2.050449,1.954219,1.848526,1.734323,1.612856,1.485569
3412,2.532543,2.531644,2.528866,2.523973,2.516572,2.506117,2.491919,2.473163,2.448931,2.418244,2.380113,2.333595,2.277864,2.212281,2.136454,2.050301,1.954077,1.848394,1.734206,1.612757,1.485492
3413,2.532511,2.531610,2.528829,2.523932,2.516524,2.506060,2.491852,2.473084,2.448839,2.418140,2.379996,2.333466,2.277726,2.212135,2.136305,2.050153,1.953934,1.848262,1.734089,1.612658,1.485414
3414,2.532478,2.531577,2.528793,2.523890,2.516476,2.506004,2.491786,2.473006,2.448748,2.418036,2.379879,2.333337,2.277587,2.211989,2.136156,2.050005,1.953792,1.848129,1.733971,1.612560,1.485337
3415,2.532446,2.531543,2.528757,2.523849,2.516428,2.505947,2.491719,2.472927,2.448657,2.417932,2.379762,2.333209,2.277448,2.211844,2.136007,2.049856,1.953649,1.847997,1.733854,1.612461,1.485260
3416,2.532413,2.531510,2.528720,2.523808,2.516380,2.505891,2.491652,2.472849,2.448566,2.417827,2.379645,2.333080,2.277310,2.211698,2.135858,2.049708,1.953507,1.847865,1.733737,1.612363,1.485183
3417,2.532381,2.531476,2.528684,2.523767,2.516332,2.505834,2.491585,2.472770,2.448475,2.417723,2.379528,2.332951,2.277171,2.211552,2.135709,2.049560,1.953364,1.847733,1.733620,1.612264,1.485106
3418,2.532348,2.531443,2.528647,2.523725,2.516284,2.505778,2.491518,2.472692,2.448384,2.417619,2.379411,2.332822,2.277032,2.211407,2.135560,2.049412,1.953222,1.847601,1.733503,1.612165,1.485029
3419,2.532316,2.531409,2.528611,2.523684,2.516236,2.505721,2.491451,2.472613,2.448293,2.417515,2.379294,2.332693,2.276894,2.211261,2.135411,2.049264,1.953079,1.847469,1.733386,1.612067,1.484952
3420,2.532283,2.531376,2.528574,2.523643,2.516188,2.505664,2.491384,2.472535,2.448201,2.417410,2.379176,2.332564,2.276755,2.211115,2.135262,2.049116,1.952937,1.847337,1.733268,1.611968,1.484876
3421,2.532250,2.531342,2.528538,2.523601,2.516139,2.505607,2.491317,2.472456,2.448110,2.417306,2.379059,2.332435,2.276616,2.210970,2.135114,2.048968,1.952795,1.847205,1.733151,1.611870,1.484799
3422,2.532218,2.531308,2.528501,2.523560,2.516091,2.505551,2.491250,2.472377,2.448019,2.417201,2.378942,2.332306,2.276478,2.210824,2.134965,2.048821,1.952652,1.847074,1.733034,1.611771,1.484722
3423,2.532185,2.531275,2.528465,2.523518,2.516043,2.505494,2.491183,2.472298,2.447927,2.417097,2.378825,2.332177,2.276339,2.210679,2.134816,2.048673,1.952510,1.846942,1.732917,1.611673,1.484645
3424,2.532152,2.531241,2.528428,2.523477,2.515995,2.505437,2.491116,2.472220,2.447836,2.416992,2.378708,2.332049,2.276200,2.210533,2.134667,2.048525,1.952368,1.846810,1.732800,1.611575,1.484568
3425,2.532119,2.531207,2.528391,2.523435,2.515946,2.505380,2.491049,2.472141,2.447744,2.416888,2.378590,2.331920,2.276062,2.210388,2.134518,2.048377,1.952226,1.846678,1.732683,1.611476,1.484491
3426,2.532086,2.531173,2.528354,2.523394,2.515898,2.505323,2.490982,2.472062,2.447653,2.416783,2.378473,2.331791,2.275923,2.210242,2.134369,2.048229,1.952084,1.846546,1.732567,1.611378,1.484414
3427,2.532053,2.531139,2.528318,2.523352,2.515849,2.505266,2.490914,2.471983,2.447561,2.416679,2.378356,2.331662,2.275784,2.210096,2.134221,2.048081,1.951942,1.846415,1.732450,1.611280,1.484337
3428,2.532020,2.531105,2.528281,2.523310,2.515801,2.505209,2.490847,2.471904,2.447470,2.416574,2.378238,2.331533,2.275646,2.209951,2.134072,2.047934,1.951800,1.846283,1.732333,1.611181,1.484260
3429,2.531987,2.531071,2.528244,2.523268,2.515752,2.505152,2.490780,2.471825,2.447378,2.416470,2.378121,2.331404,2.275507,2.209805,2.133923,2.047786,1.951658,1.846151,1.732216,1.611083,1.484183
3430,2.531954,2.531037,2.528207,2.523227,2.515704,2.505095,2.490712,2.471746,2.447287,2.416365,2.378004,2.331275,2.275368,2.209660,2.133774,2.047638,1.951516,1.846020,1.732099,1.610985,1.484106
3431,2.531921,2.531003,2.528170,2.523185,2.515655,2.505037,2.490645,2.471667,2.447195,2.416261,2.377886,2.331146,2.275230,2.209515,2.133626,2.047491,1.951374,1.845888,1.731983,1.610887,1.484028
3432,2.531888,2.530969,2.528133,2.523143,2.515607,2.504980,2.490578,2.471588,2.447103,2.416156,2.377769,2.331017,2.275091,2.209369,2.133477,2.047343,1.951232,1.845757,1.731866,1.610788,1.483951
3433,2.531855,2.530935,2.528096,2.523101,2.515558,2.504923,2.490510,2.471509,2.447012,2.416051,2.377652,2.330888,2.274952,2.209224,2.133328,2.047196,1.951090,1.845625,1.731749,1.610690,1.483874
3434,2.531822,2.530901,2.528059,2.523059,2.515509,2.504866,2.490443,2.471430,2.446920,2.415946,2.377534,2.330759,2.274814,2.209078,2.133180,2.047048,1.950948,1.845494,1.731632,1.610592,1.483797
3435,2.531788,2.530866,2.528021,2.523017,2.515461,2.504808,2.490375,2.471351,2.446828,2.415842,2.377417,2.330630,2.274675,2.208933,2.133031,2.046900,1.950806,1.845362,1.731516,1.610494,1.483720
3436,2.531755,2.530832,2.527984,2.522975,2.515412,2.504751,2.490307,2.471271,2.446736,2.415737,2.377299,2.330501,2.274537,2.208787,2.132883,2.046753,1.950664,1.845231,1.731399,1.610396,1.483643
3437,2.531722,2.530798,2.527947,2.522933,2.515363,2.504694,2.490240,2.471192,2.446645,2.415632,2.377182,2.330372,2.274398,2.208642,2.132734,2.046605,1.950522,1.845100,1.731283,1.610298,1.483566
3438,2.531688,2.530763,2.527910,2.522891,2.515314,2.504636,2.490172,2.471113,2.446553,2.415527,2.377064,2.330243,2.274259,2.208497,2.132586,2.046458,1.950381,1.844968,1.731166,1.610200,1.483489
3439,2.531655,2.530729,2.527872,2.522849,2.515265,2.504579,2.490104,2.471033,2.446461,2.415422,2.376947,2.330114,2.274121,2.208351,2.132437,2.046311,1.950239,1.844837,1.731050,1.610102,1.483411
3440,2.531621,2.530695,2.527835,2.522806,2.515216,2.504521,2.490036,2.470954,2.446369,2.415318,2.376829,2.329985,2.273982,2.208206,2.132289,2.046163,1.950097,1.844706,1.730933,1.610004,1.483334
3441,2.531588,2.530660,2.527798,2.522764,2.515167,2.504463,2.489969,2.470875,2.446277,2.415213,2.376712,2.329855,2.273843,2.208060,2.132140,2.046016,1.949956,1.844574,1.730817,1.609906,1.483257
3442,2.531554,2.530626,2.527760,2.522722,2.515118,2.504406,2.489901,2.470795,2.446185,2.415108,2.376594,2.329726,2.273705,2.207915,2.131992,2.045869,1.949814,1.844443,1.730700,1.609808,1.483180
3443,2.531521,2.530591,2.527723,2.522679,2.515069,2.504348,2.489833,2.470716,2.446093,2.415003,2.376477,2.329597,2.273566,2.207770,2.131843,2.045721,1.949673,1.844312,1.730584,1.609710,1.483102
3444,2.531487,2.530556,2.527685,2.522637,2.515020,2.504290,2.489765,2.470636,2.446001,2.414898,2.376359,2.329468,2.273427,2.207624,2.131695,2.045574,1.949531,1.844181,1.730468,1.609613,1.483025
3445,2.531453,2.530522,2.527648,2.522595,2.514971,2.504233,2.489697,2.470557,2.445909,2.414793,2.376241,2.329339,2.273289,2.207479,2.131547,2.045427,1.949390,1.844050,1.730352,1.609515,1.482948
3446,2.531420,2.530487,2.527610,2.522552,2.514921,2.504175,2.489629,2.470477,2.445817,2.414688,2.376124,2.329210,2.273150,2.207334,2.131398,2.045280,1.949248,1.843919,1.730235,1.609417,1.482871
3447,2.531386,2.530452,2.527572,2.522510,2.514872,2.504117,2.489561,2.470397,2.445724,2.414583,2.376006,2.329081,2.273012,2.207189,2.131250,2.045132,1.949107,1.843788,1.730119,1.609319,1.482793
3448,2.531352,2.530418,2.527535,2.522467,2.514823,2.504059,2.489493,2.470318,2.445632,2.414478,2.375888,2.328952,2.272873,2.207043,2.131102,2.044985,1.948965,1.843657,1.730003,1.609222,1.482716
3449,2.531318,2.530383,2.527497,2.522424,2.514773,2.504001,2.489425,2.470238,2.445540,2.414373,2.375771,2.328823,2.272734,2.206898,2.130953,2.044838,1.948824,1.843526,1.729887,1.609124,1.482639
3450,2.531285,2.530348,2.527459,2.522382,2.514724,2.503943,2.489357,2.470158,2.445448,2.414267,2.375653,2.328693,2.272596,2.206753,2.130805,2.044691,1.948683,1.843395,1.729771,1.609026,1.482561
3451,2.531251,2.530313,2.527421,2.522339,2.514675,2.503885,2.489288,2.470079,2.445355,2.414162,2.375535,2.328564,2.272457,2.206608,2.130657,2.044544,1.948541,1.843264,1.729655,1.608928,1.482484
3452,2.531217,2.530278,2.527383,2.522296,2.514625,2.503827,2.489220,2.469999,2.445263,2.414057,2.375418,2.328435,2.272319,2.206462,2.130508,2.044397,1.948400,1.843133,1.729539,1.608831,1.482407
3453,2.531183,2.530243,2.527346,2.522254,2.514576,2.503769,2.489152,2.469919,2.445171,2.413952,2.375300,2.328306,2.272180,2.206317,2.130360,2.044250,1.948259,1.843003,1.729422,1.608733,1.482329
3454,2.531149,2.530208,2.527308,2.522211,2.514526,2.503711,2.489083,2.469839,2.445078,2.413847,2.375182,2.328177,2.272041,2.206172,2.130212,2.044103,1.948118,1.842872,1.729307,1.608636,1.482252
3455,2.531114,2.530173,2.527270,2.522168,2.514476,2.503653,2.489015,2.469759,2.444986,2.413741,2.375064,2.328048,2.271903,2.206027,2.130064,2.043956,1.947977,1.842741,1.729191,1.608538,1.482175
3456,2.531080,2.530138,2.527232,2.522125,2.514427,2.503594,2.488947,2.469679,2.444894,2.413636,2.374946,2.327918,2.271764,2.205882,2.129916,2.043809,1.947835,1.842611,1.729075,1.608441,1.482097
3457,2.531046,2.530103,2.527194,2.522082,2.514377,2.503536,2.488878,2.469599,2.444801,2.413531,2.374829,2.327789,2.271626,2.205737,2.129768,2.043662,1.947694,1.842480,1.728959,1.608343,1.482020
3458,2.531012,2.530068,2.527155,2.522039,2.514327,2.503478,2.488810,2.469519,2.444709,2.413425,2.374711,2.327660,2.271487,2.205591,2.129620,2.043515,1.947553,1.842349,1.728843,1.608246,1.481942
3459,2.530978,2.530032,2.527117,2.521996,2.514278,2.503420,2.488741,2.469439,2.444616,2.413320,2.374593,2.327531,2.271348,2.205446,2.129472,2.043369,1.947412,1.842219,1.728727,1.608148,1.481865
3460,2.530943,2.529997,2.527079,2.521953,2.514228,2.503361,2.488673,2.469359,2.444523,2.413215,2.374475,2.327402,2.271210,2.205301,2.129323,2.043222,1.947271,1.842088,1.728611,1.608051,1.481788
3461,2.530909,2.529962,2.527041,2.521910,2.514178,2.503303,2.488604,2.469279,2.444431,2.413109,2.374357,2.327272,2.271071,2.205156,2.129175,2.043075,1.947130,1.841958,1.728496,1.607953,1.481710
3462,2.530875,2.529926,2.527003,2.521867,2.514128,2.503244,2.488535,2.469199,2.444338,2.413004,2.374239,2.327143,2.270933,2.205011,2.129027,2.042928,1.946989,1.841827,1.728380,1.607856,1.481633
3463,2.530840,2.529891,2.526964,2.521824,2.514078,2.503186,2.488467,2.469118,2.444246,2.412898,2.374121,2.327014,2.270794,2.204866,2.128879,2.042782,1.946849,1.841697,1.728264,1.607758,1.481555
3464,2.530806,2.529856,2.526926,2.521780,2.514028,2.503127,2.488398,2.469038,2.444153,2.412793,2.374003,2.326885,2.270656,2.204721,2.128731,2.042635,1.946708,1.841567,1.728149,1.607661,1.481478
3465,2.530771,2.529820,2.526888,2.521737,2.513978,2.503069,2.488329,2.468958,2.444060,2.412687,2.373885,2.326755,2.270517,2.204576,2.128584,2.042488,1.946567,1.841436,1.728033,1.607564,1.481400
3466,2.530737,2.529785,2.526849,2.521694,2.513928,2.503010,2.488260,2.468877,2.443967,2.412582,2.373768,2.326626,2.270378,2.204431,2.128436,2.042342,1.946426,1.841306,1.727918,1.607466,1.481323
3467,2.530702,2.529749,2.526811,2.521651,2.513878,2.502951,2.488191,2.468797,2.443875,2.412476,2.373650,2.326497,2.270240,2.204286,2.128288,2.042195,1.946285,1.841176,1.727802,1.607369,1.481245
3468,2.530668,2.529713,2.526772,2.521607,2.513828,2.502893,2.488122,2.468717,2.443782,2.412371,2.373532,2.326368,2.270101,2.204141,2.128140,2.042048,1.946145,1.841045,1.727687,1.607272,1.481168
3469,2.530633,2.529678,2.526733,2.521564,2.513777,2.502834,2.488054,2.468636,2.443689,2.412265,2.373413,2.326238,2.269963,2.203996,2.127992,2.041902,1.946004,1.840915,1.727571,1.607175,1.481090
3470,2.530598,2.529642,2.526695,2.521520,2.513727,2.502775,2.487985,2.468556,2.443596,2.412159,2.373295,2.326109,2.269824,2.203851,2.127844,2.041755,1.945863,1.840785,1.727456,1.607077,1.481013
3471,2.530564,2.529606,2.526656,2.521477,2.513677,2.502716,2.487916,2.468475,2.443503,2.412054,2.373177,2.325980,2.269686,2.203706,2.127696,2.041609,1.945723,1.840655,1.727340,1.606980,1.480935
3472,2.530529,2.529571,2.526618,2.521433,2.513627,2.502657,2.487846,2.468395,2.443410,2.411948,2.373059,2.325850,2.269547,2.203561,2.127549,2.041463,1.945582,1.840525,1.727225,1.606883,1.480857
3473,2.530494,2.529535,2.526579,2.521390,2.513576,2.502598,2.487777,2.468314,2.443317,2.411842,2.372941,2.325721,2.269409,2.203416,2.127401,2.041316,1.945442,1.840395,1.727110,1.606786,1.480780
3474,2.530459,2.529499,2.526540,2.521346,2.513526,2.502539,2.487708,2.468233,2.443224,2.411737,2.372823,2.325592,2.269270,2.203271,2.127253,2.041170,1.945301,1.840265,1.726994,1.606689,1.480702
3475,2.530424,2.529463,2.526501,2.521302,2.513475,2.502480,2.487639,2.468153,2.443131,2.411631,2.372705,2.325462,2.269131,2.203126,2.127105,2.041023,1.945161,1.840135,1.726879,1.606592,1.480625
3476,2.530389,2.529427,2.526462,2.521259,2.513425,2.502421,2.487570,2.468072,2.443038,2.411525,2.372587,2.325333,2.268993,2.202981,2.126958,2.040877,1.945021,1.840005,1.726764,1.606494,1.480547
3477,2.530354,2.529391,2.526423,2.521215,2.513374,2.502362,2.487501,2.467991,2.442945,2.411419,2.372469,2.325204,2.268854,2.202836,2.126810,2.040731,1.944880,1.839875,1.726649,1.606397,1.480469
3478,2.530319,2.529355,2.526384,2.521171,2.513324,2.502303,2.487431,2.467911,2.442852,2.411313,2.372351,2.325074,2.268716,2.202691,2.126662,2.040585,1.944740,1.839745,1.726534,1.606300,1.480392
3479,2.530284,2.529319,2.526346,2.521127,2.513273,2.502244,2.487362,2.467830,2.442759,2.411207,2.372232,2.324945,2.268577,2.202547,2.126515,2.040438,1.944599,1.839615,1.726418,1.606203,1.480314
3480,2.530249,2.529283,2.526306,2.521083,2.513222,2.502185,2.487293,2.467749,2.442665,2.411102,2.372114,2.324816,2.268439,2.202402,2.126367,2.040292,1.944459,1.839486,1.726303,1.606106,1.480237
3481,2.530214,2.529247,2.526267,2.521039,2.513172,2.502126,2.487223,2.467668,2.442572,2.410996,2.371996,2.324686,2.268300,2.202257,2.126220,2.040146,1.944319,1.839356,1.726188,1.606009,1.480159
3482,2.530179,2.529211,2.526228,2.520995,2.513121,2.502066,2.487154,2.467587,2.442479,2.410890,2.371878,2.324557,2.268162,2.202112,2.126072,2.040000,1.944179,1.839226,1.726073,1.605912,1.480081
3483,2.530143,2.529175,2.526189,2.520951,2.513070,2.502007,2.487084,2.467506,2.442386,2.410784,2.371759,2.324427,2.268023,2.201967,2.125924,2.039854,1.944039,1.839096,1.725958,1.605815,1.480004
3484,2.530108,2.529138,2.526150,2.520907,2.513019,2.501948,2.487015,2.467425,2.442292,2.410678,2.371641,2.324298,2.267885,2.201822,2.125777,2.039708,1.943899,1.838967,1.725843,1.605718,1.479926
3485,2.530073,2.529102,2.526111,2.520863,2.512969,2.501888,2.486945,2.467344,2.442199,2.410572,2.371523,2.324169,2.267746,2.201678,2.125629,2.039562,1.943758,1.838837,1.725729,1.605621,1.479849
3486,2.530037,2.529066,2.526071,2.520819,2.512918,2.501829,2.486876,2.467263,2.442106,2.410466,2.371405,2.324039,2.267608,2.201533,2.125482,2.039416,1.943618,1.838708,1.725614,1.605524,1.479771
3487,2.530002,2.529029,2.526032,2.520775,2.512867,2.501769,2.486806,2.467182,2.442012,2.410360,2.371286,2.323910,2.267469,2.201388,2.125335,2.039270,1.943478,1.838578,1.725499,1.605427,1.479694
3488,2.529967,2.528993,2.525993,2.520730,2.512816,2.501710,2.486736,2.467101,2.441919,2.410254,2.371168,2.323780,2.267331,2.201243,2.125187,2.039124,1.943338,1.838449,1.725384,1.605331,1.479616
3489,2.529931,2.528956,2.525953,2.520686,2.512765,2.501650,2.486666,2.467020,2.441825,2.410147,2.371050,2.323651,2.267192,2.201099,2.125040,2.038978,1.943198,1.838319,1.725269,1.605234,1.479539
3490,2.529896,2.528920,2.525914,2.520642,2.512714,2.501590,2.486597,2.466938,2.441732,2.410041,2.370931,2.323522,2.267054,2.200954,2.124892,2.038832,1.943059,1.838190,1.725154,1.605137,1.479461
3491,2.529860,2.528883,2.525874,2.520597,2.512662,2.501531,2.486527,2.466857,2.441638,2.409935,2.370813,2.323392,2.266915,2.200809,2.124745,2.038686,1.942919,1.838060,1.725040,1.605040,1.479384
3492,2.529824,2.528847,2.525835,2.520553,2.512611,2.501471,2.486457,2.466776,2.441545,2.409829,2.370694,2.323263,2.266777,2.200665,2.124598,2.038540,1.942779,1.837931,1.724925,1.604943,1.479307
3493,2.529789,2.528810,2.525795,2.520509,2.512560,2.501411,2.486387,2.466695,2.441451,2.409723,2.370576,2.323133,2.266638,2.200520,2.124450,2.038394,1.942639,1.837802,1.724810,1.604846,1.479229
3494,2.529753,2.528773,2.525756,2.520464,2.512509,2.501351,2.486317,2.466613,2.441357,2.409617,2.370458,2.323004,2.266500,2.200375,2.124303,2.038249,1.942499,1.837672,1.724696,1.604749,1.479152
3495,2.529717,2.528737,2.525716,2.520420,2.512458,2.501292,2.486247,2.466532,2.441264,2.409510,2.370339,2.322874,2.266361,2.200231,2.124156,2.038103,1.942360,1.837543,1.724581,1.604653,1.479074
3496,2.529681,2.528700,2.525676,2.520375,2.512406,2.501232,2.486177,2.466450,2.441170,2.409404,2.370221,2.322745,2.266223,2.200086,2.124009,2.037957,1.942220,1.837414,1.724467,1.604556,1.478997
3497,2.529646,2.528663,2.525637,2.520330,2.512355,2.501172,2.486107,2.466369,2.441076,2.409298,2.370102,2.322615,2.266084,2.199941,2.123861,2.037812,1.942080,1.837285,1.724352,1.604459,1.478920
3498,2.529610,2.528626,2.525597,2.520286,2.512303,2.501112,2.486037,2.466288,2.440982,2.409191,2.369984,2.322486,2.265946,2.199797,2.123714,2.037666,1.941941,1.837156,1.724238,1.604362,1.478842
3499,2.529574,2.528589,2.525557,2.520241,2.512252,2.501052,2.485967,2.466206,2.440889,2.409085,2.369865,2.322356,2.265808,2.199652,2.123567,2.037520,1.941801,1.837027,1.724123,1.604266,1.478765
