source,temperature_max_abs,temperature_rmse,moisture_max_abs,moisture_rmse
"时间方法（相同 N=200, dt=1 s）",0.001910434690106655,0.0012184797318146273,0.00041111601425303235,9.349828214910611e-05
空间网格（固定dt=0.25 s，N=200与800）,1.8403441128356235e-05,5.181222430439284e-06,0.0002786428903207572,5.355579218868209e-05
界面平均（算术与调和）,0.0,0.0,1.024390116066698e-06,3.112630484320719e-07
边界插值（PCHIP与线性）,0.002319989235367359,0.000695050931359341,1.0447229084054044e-06,2.6082904386358287e-07
