variable,method,loo_mae,loo_rmse,loo_max_abs,max_interval_overshoot
temperature,linear,0.11277586206896534,0.12505105853762033,0.22500000000000142,0.0
temperature,pchip,0.13417365290506394,0.1457978613381539,0.2567950204632439,0.0
temperature,cubic,0.15831273754248026,0.1725093647579405,0.2851071742502995,0.0
temperature,akima,0.12494153085284446,0.13534107624392228,0.24750444335136734,0.0
moisture,linear,6.37931034482753e-05,8.653283211869784e-05,0.00023000000000000104,0.0
moisture,pchip,6.615857874939606e-05,9.372202426953688e-05,0.0002400291657495071,0.0
moisture,cubic,6.952500393527918e-05,9.804989909421215e-05,0.00023668159642488418,6.938893903907228e-18
moisture,akima,6.44303502305321e-05,8.979116891237592e-05,0.00023400641025641059,0.0
