study,radial_intervals,dt_s,temperature_max_abs,moisture_max_abs
grid,100,0.25,7.729051131022402e-05,0.0011796684795140067
grid,200,0.25,1.8403441128356235e-05,0.0002786428903207572
grid,400,0.25,3.680775026992933e-06,5.5620028521996545e-05
grid,800,0.25,0.0,0.0
time,400,1.0,7.586526216130096e-07,1.0205784102268467e-06
time,400,0.5,1.8448648830826642e-07,2.430106396111853e-07
time,400,0.25,3.7026250510052705e-08,4.8603191249441124e-08
time,400,0.125,0.0,0.0
