时间/h,0 cm,0.5 cm,1 cm,1.5 cm,2 cm
0.5,2.5499,2.5489,2.5256,2.3257,1.6486
1,2.5257,2.4948,2.3578,2.0230,1.4711
1.5,2.3861,2.3256,2.1344,1.8020,1.3476
2,2.1708,2.1084,1.9236,1.6259,1.2311
2.5,1.9566,1.9006,1.7360,1.4720,1.1166
3,1.7662,1.7165,1.5702,1.3333,1.0081
